Kurs Jual,Tanggal
15101.13,06/27/2023
15072.99,06/26/2023
14992.59,06/23/2023
15056.91,06/22/2023
15115.2,06/21/2023
15068.97,06/20/2023
15019.73,06/19/2023
15017.72,06/16/2023
14969.48,06/15/2023
14942.34,06/14/2023
14948.37,06/13/2023
14927.26,06/12/2023
14977.51,06/09/2023
14949.38,06/08/2023
14913.19,06/07/2023
14962.44,06/06/2023
15078.01,06/05/2023
15043.84,05/31/2023
15047.86,05/30/2023
15033.8,05/29/2023
15026.76,05/26/2023
14979.52,05/25/2023
14952.39,05/24/2023
14971.49,05/23/2023
15010.68,05/22/2023
14949.38,05/19/2023
14884.05,05/17/2023
14886.06,05/16/2023
14825.76,05/15/2023
14795.61,05/12/2023
14819.73,05/11/2023
14830.78,05/10/2023
14782.55,05/09/2023
14747.37,05/08/2023
14705.16,05/05/2023
14779.53,05/04/2023
14776.51,05/03/2023
14734.31,05/02/2023
14824.75,04/28/2023
14956.41,04/27/2023
14929.27,04/26/2023
14846.86,04/18/2023
14739.33,04/17/2023
14865.96,04/14/2023
14940.33,04/13/2023
14962.44,04/12/2023
14979.52,04/11/2023
15017.72,04/10/2023
15007.67,04/06/2023
14987.57,04/05/2023
15064.95,04/04/2023
15051.89,04/03/2023
15137.31,03/31/2023
15169.47,03/30/2023
15163.44,03/29/2023
15249.87,03/28/2023
15264.94,03/27/2023
15425.75,03/24/2023
15448.86,03/21/2023
15440.82,03/20/2023
15495.09,03/17/2023
15441.83,03/16/2023
15456.9,03/15/2023
15450.87,03/14/2023
15545.34,03/13/2023
15515.19,03/10/2023
15528.25,03/09/2023
15435.8,03/08/2023
15377.5,03/07/2023
15382.53,03/06/2023
15349.36,03/03/2023
15326.25,03/02/2023
15316.2,03/01/2023
15350.37,02/28/2023
15292.08,02/27/2023
15262.93,02/24/2023
15294.09,02/23/2023
15254.9,02/22/2023
15243.84,02/21/2023
15275.0,02/20/2023
15251.88,02/17/2023
15269.97,02/16/2023
15243.84,02/15/2023
15292.08,02/14/2023
15215.7,02/13/2023
15195.6,02/10/2023
15197.61,02/09/2023
15214.69,02/08/2023
15130.27,02/07/2023
14972.49,02/06/2023
14942.34,02/03/2023
15065.95,02/02/2023
15066.96,02/01/2023
15053.9,01/31/2023
15052.89,01/30/2023
15038.82,01/27/2023
15032.79,01/26/2023
15004.65,01/25/2023
15196.6,01/24/2023
15188.57,01/20/2023
15212.68,01/19/2023
15229.77,01/18/2023
15094.09,01/17/2023
15252.89,01/16/2023
15442.83,01/13/2023
15604.64,01/12/2023
15666.94,01/11/2023
15651.87,01/10/2023
15713.17,01/09/2023
15688.05,01/06/2023
15693.08,01/05/2023
15667.95,01/04/2023
15649.86,01/03/2023
15669.96,01/02/2023
15809.66,12/30/2022
15781.51,12/29/2022
15737.3,12/28/2022
15714.18,12/27/2022
15683.02,12/26/2022
15671.97,12/23/2022
15679.0,12/22/2022
15686.04,12/21/2022
15699.1,12/20/2022
15695.08,12/19/2022
15708.15,12/16/2022
15697.09,12/15/2022
15739.31,12/14/2022
15720.21,12/13/2022
15664.93,12/12/2022
15702.12,12/09/2022
15697.09,12/08/2022
15653.88,12/07/2022
15486.05,12/06/2022
15506.15,12/05/2022
15695.08,12/02/2022
15820.71,12/01/2022
15815.68,11/30/2022
15807.65,11/29/2022
15746.34,11/28/2022
15725.24,11/25/2022
15778.5,11/24/2022
15794.58,11/23/2022
15785.53,11/22/2022
15770.46,11/21/2022
15765.43,11/18/2022
15688.05,11/17/2022
15641.82,11/16/2022
15576.5,11/15/2022
15570.47,11/14/2022
15779.5,11/11/2022
15732.27,11/10/2022
15762.42,11/09/2022
15770.46,11/08/2022
15814.68,11/07/2022
15759.41,11/04/2022
15730.26,11/03/2022
15725.24,11/02/2022
15673.98,11/01/2022
15619.71,10/31/2022
15650.86,10/28/2022
15673.98,10/27/2022
15694.08,10/26/2022
15667.95,10/25/2022
15688.05,10/24/2022
15656.9,10/21/2022
15568.45,10/20/2022
15546.34,10/19/2022
15557.4,10/18/2022
15466.95,10/17/2022
15433.78,10/14/2022
15449.86,10/13/2022
15438.81,10/12/2022
15375.5,10/11/2022
15322.23,10/10/2022
15272.99,10/07/2022
15271.98,10/06/2022
15352.38,10/05/2022
15369.47,10/04/2022
15308.16,10/03/2022
15323.24,09/30/2022
15319.22,09/29/2022
15230.77,09/28/2022
15194.59,09/27/2022
15110.17,09/26/2022
15108.17,09/23/2022
15086.06,09/22/2022
15049.88,09/21/2022
15054.9,09/20/2022
15013.69,09/19/2022
14973.5,09/16/2022
14997.61,09/15/2022
14935.31,09/14/2022
14913.19,09/13/2022
14920.23,09/12/2022
14979.52,09/09/2022
15001.64,09/08/2022
14959.42,09/07/2022
14994.6,09/06/2022
14974.5,09/05/2022
14958.42,09/02/2022
14927.26,09/01/2022
14949.38,08/31/2022
14961.43,08/30/2022
14888.07,08/29/2022
14901.14,08/26/2022
14925.25,08/25/2022
14967.47,08/24/2022
14956.41,08/23/2022
14932.29,08/22/2022
14896.11,08/19/2022
14840.83,08/18/2022
14800.64,08/16/2022
14761.44,08/15/2022
14873.0,08/12/2022
14949.38,08/11/2022
14936.31,08/10/2022
14989.58,08/09/2022
14978.52,08/08/2022
15003.65,08/05/2022
14991.58,08/04/2022
14962.44,08/03/2022
14948.37,08/02/2022
14934.3,08/01/2022
15032.79,07/29/2022
15095.1,07/28/2022
15058.92,07/27/2022
15066.96,07/26/2022
15099.12,07/25/2022
15092.08,07/22/2022
15058.92,07/21/2022
15066.96,07/20/2022
15060.93,07/19/2022
15074.0,07/18/2022
15074.0,07/15/2022
15059.92,07/14/2022
15067.97,07/13/2022
15043.84,07/12/2022
15055.91,07/11/2022
15060.93,07/08/2022
15090.08,07/07/2022
15064.95,07/06/2022
15034.8,07/05/2022
15030.78,07/04/2022
14956.41,07/01/2022
14922.24,06/30/2022
14911.19,06/29/2022
14876.01,06/28/2022
14920.23,06/27/2022
14909.18,06/24/2022
14934.3,06/23/2022
14878.02,06/22/2022
14910.18,06/21/2022
14902.14,06/20/2022
14814.71,06/17/2022
14819.73,06/16/2022
14802.65,06/15/2022
14745.36,06/14/2022
14641.85,06/13/2022
14627.78,06/10/2022
14549.39,06/09/2022
14536.32,06/08/2022
14534.31,06/07/2022
14503.16,06/06/2022
14598.63,06/03/2022
14664.96,06/02/2022
14616.72,05/31/2022
14650.89,05/30/2022
14718.23,05/27/2022
14726.27,05/25/2022
14738.33,05/24/2022
14734.31,05/23/2022
14804.66,05/20/2022
14755.41,05/19/2022
14724.26,05/18/2022
14692.1,05/17/2022
14657.93,05/13/2022
14618.73,05/12/2022
14618.73,05/11/2022
14606.67,05/10/2022
14552.4,05/09/2022
14490.09,04/28/2022
14484.06,04/27/2022
14524.26,04/26/2022
14432.81,04/25/2022
14419.74,04/22/2022
14422.76,04/21/2022
14418.74,04/20/2022
14427.78,04/19/2022
14420.75,04/18/2022
14430.8,04/14/2022
14435.82,04/13/2022
14441.85,04/12/2022
14436.83,04/11/2022
14430.8,04/08/2022
14435.82,04/07/2022
14419.74,04/06/2022
14433.81,04/05/2022
14435.82,04/04/2022
14428.79,04/01/2022
14420.75,03/31/2022
14435.82,03/30/2022
14431.8,03/29/2022
14412.71,03/28/2022
14432.81,03/25/2022
14422.76,03/24/2022
14429.79,03/23/2022
14412.71,03/22/2022
14411.7,03/21/2022
14361.45,03/18/2022
14382.56,03/17/2022
14392.61,03/16/2022
14399.64,03/15/2022
14377.53,03/14/2022
14369.49,03/11/2022
14442.86,03/10/2022
14465.97,03/09/2022
14483.06,03/08/2022
14454.92,03/07/2022
14444.87,03/04/2022
14421.75,03/02/2022
14440.85,03/01/2022
14442.86,02/25/2022
14426.78,02/24/2022
14433.81,02/23/2022
14400.65,02/22/2022
14410.7,02/21/2022
14372.51,02/18/2022
14349.39,02/17/2022
14363.46,02/16/2022
14409.69,02/15/2022
14430.8,02/14/2022
14415.72,02/11/2022
14437.83,02/10/2022
14456.93,02/09/2022
14476.02,02/08/2022
14447.88,02/07/2022
14452.91,02/04/2022
14418.74,02/03/2022
14463.96,02/02/2022
14452.91,01/31/2022
14456.93,01/28/2022
14417.73,01/27/2022
14429.79,01/26/2022
14398.64,01/25/2022
14418.74,01/24/2022
14425.77,01/21/2022
14441.85,01/20/2022
14396.63,01/19/2022
14394.62,01/18/2022
14381.55,01/17/2022
14382.56,01/14/2022
14373.51,01/13/2022
14370.5,01/12/2022
14394.62,01/11/2022
14431.8,01/10/2022
14467.98,01/07/2022
14436.83,01/06/2022
14381.55,01/05/2022
14341.35,01/04/2022
14349.39,01/03/2022
14340.35,12/31/2021
14336.33,12/30/2021
14308.19,12/29/2021
14296.13,12/28/2021
14290.1,12/27/2021
14322.26,12/24/2021
14335.32,12/23/2021
14420.75,12/22/2021
14455.92,12/21/2021
14414.72,12/20/2021
14414.72,12/17/2021
14408.69,12/16/2021
14419.74,12/15/2021
14417.73,12/14/2021
14449.89,12/13/2021
14422.76,12/10/2021
14419.74,12/09/2021
14480.04,12/08/2021
14513.21,12/07/2021
14480.04,12/06/2021
14449.89,12/03/2021
14424.77,12/02/2021
14391.6,12/01/2021
14411.7,11/30/2021
14351.4,11/29/2021
14351.4,11/26/2021
14343.36,11/25/2021
14343.36,11/24/2021
14326.28,11/23/2021
14308.19,11/22/2021
14302.16,11/19/2021
14330.3,11/18/2021
14282.06,11/17/2021
14277.03,11/16/2021
14314.22,11/15/2021
14359.44,11/12/2021
14324.27,11/11/2021
14304.17,11/10/2021
14339.34,11/09/2021
14445.87,11/08/2021
14398.64,11/05/2021
14372.51,11/04/2021
14332.31,11/03/2021
14306.18,11/02/2021
14241.86,11/01/2021
14270.0,10/29/2021
14254.92,10/28/2021
14235.83,10/27/2021
14253.92,10/26/2021
14232.81,10/25/2021
14203.67,10/22/2021
14150.4,10/21/2021
14166.48,10/19/2021
14154.42,10/18/2021
14225.78,10/15/2021
14292.11,10/14/2021
14288.09,10/13/2021
14281.05,10/12/2021
14296.13,10/11/2021
14309.19,10/08/2021
14316.23,10/07/2021
14331.3,10/06/2021
14347.38,10/05/2021
14386.58,10/04/2021
14392.61,10/01/2021
14378.54,09/30/2021
14340.35,09/29/2021
14329.29,09/28/2021
14321.25,09/27/2021
14327.28,09/24/2021
14320.25,09/23/2021
14315.22,09/22/2021
14322.26,09/21/2021
14304.17,09/20/2021
14309.19,09/17/2021
14323.26,09/16/2021
14328.29,09/15/2021
14331.3,09/14/2021
14296.13,09/13/2021
14343.36,09/10/2021
14337.33,09/09/2021
14265.98,09/08/2021
14310.2,09/07/2021
14332.31,09/06/2021
14352.41,09/03/2021
14355.42,09/02/2021
14377.53,09/01/2021
14445.87,08/31/2021
14503.16,08/30/2021
14495.12,08/27/2021
14480.04,08/26/2021
14462.96,08/25/2021
14487.08,08/24/2021
14536.32,08/23/2021
14486.07,08/20/2021
14455.92,08/19/2021
14454.92,08/18/2021
14459.94,08/16/2021
14460.95,08/13/2021
14468.99,08/12/2021
14449.89,08/10/2021
14440.85,08/09/2021
14413.71,08/06/2021
14395.62,08/05/2021
14433.81,08/04/2021
14528.28,08/03/2021
14534.31,08/02/2021
14563.46,07/30/2021
14570.49,07/29/2021
14561.45,07/28/2021
14566.47,07/27/2021
14573.51,07/26/2021
14580.54,07/23/2021
14626.77,07/22/2021
14596.62,07/21/2021
14589.59,07/19/2021
14575.52,07/16/2021
14565.47,07/15/2021
14558.43,07/14/2021
14558.43,07/13/2021
14620.74,07/12/2021
14620.74,07/09/2021
14572.5,07/08/2021
14540.34,07/07/2021
14554.41,07/06/2021
14636.82,07/05/2021
14611.7,07/02/2021
14614.71,07/01/2021
14568.48,06/30/2021
14544.36,06/29/2021
14519.24,06/28/2021
14534.31,06/25/2021
14526.27,06/24/2021
14493.11,06/23/2021
14525.27,06/22/2021
14475.02,06/21/2021
14449.89,06/18/2021
14328.29,06/17/2021
14315.22,06/16/2021
14293.11,06/15/2021
14277.03,06/14/2021
14311.2,06/11/2021
14333.31,06/10/2021
14333.31,06/09/2021
14342.36,06/08/2021
14387.58,06/07/2021
14368.49,06/04/2021
14347.38,06/03/2021
14363.46,06/02/2021
14381.55,06/01/2021
14381.55,05/31/2021
14383.56,05/28/2021
14406.68,05/27/2021
14433.81,05/26/2021
14433.81,05/25/2021
14446.88,05/24/2021
14467.98,05/21/2021
14384.57,05/20/2021
14371.5,05/19/2021
14355.42,05/18/2021
14274.02,05/17/2021
14268.99,05/14/2021
14268.99,05/13/2021
14268.99,05/12/2021
14268.99,05/11/2021
14360.45,05/10/2021
14435.82,05/07/2021
14511.2,05/06/2021
14503.16,05/05/2021
14539.34,05/04/2021
14525.27,05/03/2021
14540.34,04/30/2021
14582.55,04/29/2021
14569.49,04/28/2021
14561.45,04/27/2021
14620.74,04/26/2021
14602.65,04/23/2021
14621.75,04/22/2021
14580.54,04/21/2021
14640.84,04/20/2021
14664.96,04/19/2021
14719.23,04/16/2021
14706.17,04/15/2021
14721.24,04/14/2021
14704.16,04/13/2021
14652.9,04/12/2021
14652.9,04/09/2021
14585.57,04/08/2021
14591.6,04/07/2021
14605.67,04/06/2021
14656.92,04/05/2021
14649.89,04/02/2021
14649.89,04/01/2021
14644.86,03/31/2021
14553.41,03/30/2021
14506.17,03/29/2021
14518.23,03/26/2021
14536.32,03/25/2021
14527.28,03/24/2021
14493.11,03/23/2021
14528.28,03/22/2021
14548.38,03/19/2021
14484.06,03/18/2021
14531.3,03/17/2021
14496.12,03/16/2021
14490.09,03/15/2021
14442.86,03/12/2021
14493.11,03/11/2021
14493.11,03/10/2021
14540.34,03/09/2021
14461.95,03/08/2021
14442.86,03/05/2021
14370.5,03/04/2021
14405.67,03/03/2021
14378.54,03/02/2021
14371.5,03/01/2021
14300.15,02/26/2021
14174.52,02/25/2021
14159.45,02/24/2021
14196.63,02/23/2021
14168.49,02/22/2021
14155.43,02/19/2021
14129.3,02/18/2021
14089.1,02/17/2021
13944.38,02/16/2021
14015.73,02/15/2021
14081.06,02/12/2021
14081.06,02/11/2021
14058.95,02/10/2021
14070.0,02/09/2021
14070.0,02/08/2021
14132.31,02/05/2021
14106.18,02/04/2021
14087.09,02/03/2021
14114.22,02/02/2021
14112.21,02/01/2021
14154.42,01/29/2021
14189.6,01/28/2021
14161.46,01/27/2021
14156.43,01/26/2021
14152.41,01/25/2021
14124.27,01/22/2021
14109.2,01/21/2021
14135.33,01/20/2021
14156.43,01/19/2021
14150.4,01/18/2021
14138.34,01/15/2021
14189.6,01/14/2021
14179.55,01/13/2021
14302.16,01/12/2021
14225.78,01/11/2021
14128.29,01/08/2021
14007.69,01/07/2021
13995.63,01/06/2021
14014.73,01/05/2021
13972.52,01/04/2021
